feature,bin,woe,coefficient,points,bad_rate,iv
bureau_debt_to_income,"(1.68, 2.747]",0.37939495538635803,-0.1652465350201721,4.52239463277356,0.019996992933393475,0.07631460556722786
bureau_debt_to_income,"(2.747, inf]",0.15960404431777833,-0.1652465350201721,1.9024830539895674,0.02480829950383401,0.07631460556722786
bureau_debt_to_income,MISSING,-0.27368222000745124,-0.1652465350201721,-3.262296942211146,0.03773049645390071,0.07631460556722786
device_risk_score,"(-inf, 27.95]",0.15142129002245724,-0.14427712438276255,1.5759011150503461,0.025003397200706618,0.031848783303845184
device_risk_score,"(27.95, 34.67]",0.11250918760477907,-0.14427712438276255,1.1709275107449164,0.025972259994560782,0.031848783303845184
device_risk_score,"(34.67, 40.68]",0.11858203048039072,-0.14427712438276255,1.234129982852918,0.025818725370294875,0.031848783303845184
device_risk_score,"(40.68, 48.14]",0.0012442631452227841,-0.14427712438276255,0.012949537529906298,0.02894808371840174,0.031848783303845184
device_risk_score,"(48.14, inf]",-0.3114976816014052,-0.14427712438276255,-3.241879287241896,0.03918367346938775,0.031848783303845184
segment,good_repeat,0.7215763768667542,-0.48257475599574995,25.118369789621955,0.014269122283059566,0.2883934924828484
segment,near_prime,-0.049244150132646484,-0.48257475599574995,-1.7142090742750111,0.030383795309168442,0.2883934924828484
segment,new_to_credit,-0.5541467777330904,-0.48257475599574995,-19.29007673625315,0.049465769687376336,0.2883934924828484
segment,risky_repeat,-0.4688790957689782,-0.48257475599574995,-16.321873736068248,0.04542840713053479,0.2883934924828484
segment,salaried,0.6669733683677942,-0.48257475599574995,23.21761665651874,0.0150965029619721,0.2883934924828484
segment,self_employed,0.03652217845734872,-0.48257475599574995,1.2713520195848262,0.02798708288482239,0.2883934924828484
segment,subprime,-0.4766970103767597,-0.48257475599574995,-16.594018551776657,0.045550847457627115,0.2883934924828484
segment,thin_file,-0.6826349296498,-0.48257475599574995,-23.76280203172801,0.05583126550868486,0.2883934924828484
employment_type,contractor,-0.1953864752889509,-0.16338515825242467,-2.3027757365816695,0.034991324465008675,0.034543019888809284
employment_type,formal_salaried,0.1837806552329086,-0.16338515825242467,2.165992467480451,0.0242816179610762,0.034543019888809284
employment_type,informal_salaried,0.13075975799685874,-0.16338515825242467,1.5411015403760906,0.025500526870389884,0.034543019888809284
employment_type,micro_business_owner,-0.2479922077761637,-0.16338515825242467,-2.922773636628286,0.03676166873192895,0.034543019888809284
employment_type,pensioner,-0.11534580127450629,-0.16338515825242467,-1.3594365326397013,0.03231292517006803,0.034543019888809284
employment_type,self_employed,-0.22571984158607333,-0.16338515825242467,-2.660277144059118,0.036071726438698916,0.034543019888809284
employment_type,unemployed,-0.15567513349874593,-0.16338515825242467,-1.8347478743340464,0.033626289644631255,0.034543019888809284
